Nº;Date;Time;Shift;League;HomeTeam;HomePlayer;AwayTeam;AwayPlayer;golsHome;golsAway;FTR
1;02/08;07:00;Manhã;Adriatic_League;Barcelona;Bruno;Man City;Leonardo;3;3;D
2;02/08;07:00;Manhã;Adriatic_League;Bayern;VanGogh;PSG;MisterX;4;1;H
3;02/08;06:15;Manhã;Adriatic_League;Portugal;Spiderman;Germany;Iron;2;3;A
4;02/08;06:15;Manhã;Adriatic_League;England;Walter;Spain;Maradona;5;4;H
5;02/08;06:15;Manhã;Adriatic_League;Arsenal;VanGogh;Aston Villa;Panther;4;2;H
6;02/08;06:15;Manhã;Adriatic_League;Man Utd;MisterX;Newcastle;Leonardo;3;0;H
7;02/08;06:00;Manhã;Adriatic_League;Italy;Samuel;Germany;Iron;2;2;D
8;02/08;06:00;Manhã;Adriatic_League;England;Walter;Portugal;Spiderman;1;3;A
9;02/08;06:00;Manhã;Adriatic_League;Tottenham;Bruno;Aston Villa;Panther;1;1;D
10;02/08;06:00;Manhã;Adriatic_League;Arsenal;VanGogh;Newcastle;Leonardo;4;1;H
11;02/08;05:45;Madrugada;Adriatic_League;Italy;Samuel;Spain;Maradona;3;3;D
12;02/08;05:45;Madrugada;Adriatic_League;England;Walter;Germany;Iron;4;1;H
13;02/08;05:45;Madrugada;Adriatic_League;Newcastle;Leonardo;Aston Villa;Panther;2;2;D
14;02/08;05:45;Madrugada;Adriatic_League;Tottenham;Bruno;Man Utd;MisterX;4;1;H
15;02/08;05:30;Madrugada;Adriatic_League;Portugal;Spiderman;Spain;Maradona;0;5;A
16;02/08;05:30;Madrugada;Adriatic_League;Italy;Samuel;England;Walter;0;3;A
17;02/08;05:30;Madrugada;Adriatic_League;Man Utd;MisterX;Aston Villa;Panther;4;5;A
18;02/08;05:30;Madrugada;Adriatic_League;Tottenham;Bruno;Arsenal;VanGogh;4;2;H
19;02/08;05:15;Madrugada;Adriatic_League;Germany;Iron;Spain;Maradona;2;2;D
20;02/08;05:15;Madrugada;Adriatic_League;Italy;Samuel;Portugal;Spiderman;0;5;A
21;02/08;05:15;Madrugada;Adriatic_League;Newcastle;Leonardo;Tottenham;Bruno;3;3;D
22;02/08;05:15;Madrugada;Adriatic_League;Man Utd;MisterX;Arsenal;VanGogh;0;4;A
23;02/08;05:00;Madrugada;Adriatic_League;Germany;Iron;Portugal;Spiderman;1;0;H
24;02/08;05:00;Madrugada;Adriatic_League;Spain;Maradona;England;Walter;5;1;H
25;02/08;05:00;Madrugada;Adriatic_League;Aston Villa;Panther;Arsenal;VanGogh;2;2;D
26;02/08;05:00;Madrugada;Adriatic_League;Newcastle;Leonardo;Man Utd;MisterX;0;3;A
27;02/08;04:45;Madrugada;Adriatic_League;Aston Villa;Panther;Tottenham;Bruno;3;3;D
28;02/08;04:45;Madrugada;Adriatic_League;Newcastle;Leonardo;Arsenal;VanGogh;1;2;A
29;02/08;04:30;Madrugada;Adriatic_League;Man Utd;MisterX;Tottenham;Bruno;2;5;A
30;02/08;04:15;Madrugada;Adriatic_League;Arsenal;VanGogh;Tottenham;Bruno;1;6;A
31;02/08;04:15;Madrugada;Adriatic_League;Aston Villa;Panther;Man Utd;MisterX;2;4;A
32;02/08;04:00;Madrugada;Adriatic_League;Tottenham;Bruno;Newcastle;Leonardo;2;0;H
33;02/08;04:00;Madrugada;Adriatic_League;Arsenal;VanGogh;Man Utd;MisterX;4;3;H
34;02/08;02:45;Madrugada;Adriatic_League;Italy;Cleo;Germany;Liam;2;3;A
35;02/08;02:45;Madrugada;Adriatic_League;Argentina;Felix;England;Obelix;1;1;D
36;02/08;02:30;Madrugada;Adriatic_League;Argentina;Felix;Germany;Liam;1;2;A
37;02/08;02:15;Madrugada;Adriatic_League;Italy;Cleo;Argentina;Felix;2;3;A
38;02/08;02:15;Madrugada;Adriatic_League;England;Obelix;Portugal;Andrew;3;4;A
39;02/08;02:00;Madrugada;Adriatic_League;Germany;Liam;Portugal;Andrew;6;4;H
40;02/08;02:00;Madrugada;Adriatic_League;Italy;Cleo;England;Obelix;1;2;A
41;02/08;01:45;Madrugada;Adriatic_League;Portugal;Andrew;Argentina;Felix;1;5;A
42;02/08;01:15;Madrugada;Adriatic_League;Tottenham;Obelix;Arsenal;Felix;2;3;A
43;02/08;01:15;Madrugada;Adriatic_League;Man Utd;Liam;Man City;Cleo;5;2;H
44;02/08;01:00;Madrugada;Adriatic_League;Man Utd;Liam;Arsenal;Felix;3;1;H
45;02/08;01:00;Madrugada;Adriatic_League;Liverpool;Andrew;Man City;Cleo;1;0;H
46;02/08;00:45;Madrugada;Adriatic_League;Liverpool;Andrew;Tottenham;Obelix;3;1;H
47;02/08;00:45;Madrugada;Adriatic_League;Arsenal;Felix;Man City;Cleo;0;4;A
48;02/08;00:30;Madrugada;Adriatic_League;Tottenham;Obelix;Man City;Cleo;1;3;A
49;02/08;00:30;Madrugada;Adriatic_League;Liverpool;Andrew;Man Utd;Liam;2;1;H
50;02/08;00:15;Madrugada;Adriatic_League;Tottenham;Obelix;Man Utd;Liam;5;2;H
51;02/08;00:15;Madrugada;Adriatic_League;Arsenal;Felix;Liverpool;Andrew;1;0;H
52;02/08;00:00;Madrugada;Adriatic_League;Man City;Cleo;Man Utd;Liam;4;2;H
53;02/08;00:00;Madrugada;Adriatic_League;Arsenal;Felix;Tottenham;Obelix;5;3;H
54;02/07;23:45;Noite;Adriatic_League;Man City;Cleo;Liverpool;Andrew;4;1;H
