Nº;Date;Time;Shift;League;HomeTeam;HomePlayer;AwayTeam;AwayPlayer;golsHome;golsAway;FTR
1;02/08;00:16;Madrugada;ESoccer_Battle;RB Leipzig;Galikooo;Eintracht;Apenko_17;2;1;H
2;02/08;00:16;Madrugada;ESoccer_Battle;Wolfsburg;Petruchio;Dortmund;palkan;1;4;A
3;02/08;00:12;Madrugada;ESoccer_Battle;Germany;MeLToSik;England;Kodak;2;3;A
4;02/08;00:12;Madrugada;ESoccer_Battle;Argentina;Boulevard;France;Inquisitor;0;2;A
5;02/08;00:04;Madrugada;ESoccer_Battle;Bayer 04;Zzakki;Wolfsburg;Petruchio;3;3;D
6;02/08;00:04;Madrugada;ESoccer_Battle;Dortmund;palkan;RB Leipzig;Galikooo;0;1;A
7;02/08;00:00;Madrugada;ESoccer_Battle;Portugal;LaikingDast;Argentina;Boulevard;4;2;H
8;02/08;00:00;Madrugada;ESoccer_Battle;France;Inquisitor;Germany;MeLToSik;2;3;A
9;02/07;23:52;Noite;ESoccer_Battle;Eintracht;Apenko_17;Dortmund;palkan;2;1;H
10;02/07;23:52;Noite;ESoccer_Battle;RB Leipzig;Galikooo;Bayer 04;Zzakki;2;2;D
11;02/07;23:40;Noite;ESoccer_Battle;Wolfsburg;Petruchio;RB Leipzig;Galikooo;1;1;D
12;02/07;23:40;Noite;ESoccer_Battle;Bayer 04;Zzakki;Eintracht;Apenko_17;4;1;H
13;02/07;23:28;Noite;ESoccer_Battle;Napoli;LaikingDast;A.Madrid;MeLToSik;1;3;A
14;02/07;23:28;Noite;ESoccer_Battle;Dortmund;Inquisitor;Arsenal;Kodak;1;1;D
15;02/07;23:18;Noite;ESoccer_Battle;AC Milan;Zzakki;Napoli;palkan;3;2;H
16;02/07;23:18;Noite;ESoccer_Battle;Roma;Petruchio;Inter;Apenko_17;2;1;H
17;02/07;23:16;Noite;ESoccer_Battle;A.Madrid;MeLToSik;Man Utd;Boulevard;1;1;D
18;02/07;23:06;Noite;ESoccer_Battle;Inter;Apenko_17;Juventus;Galikooo;2;4;A
19;02/07;23:06;Noite;ESoccer_Battle;Napoli;palkan;Roma;Petruchio;2;0;H
20;02/07;23:04;Noite;ESoccer_Battle;Man Utd;Boulevard;Arsenal;Kodak;2;3;A
21;02/07;23:04;Noite;ESoccer_Battle;Napoli;LaikingDast;Dortmund;Inquisitor;1;2;A
22;02/07;22:54;Noite;ESoccer_Battle;Roma;Petruchio;AC Milan;Zzakki;0;0;D
23;02/07;22:54;Noite;ESoccer_Battle;Juventus;Galikooo;Napoli;palkan;2;1;H
24;02/07;22:52;Noite;ESoccer_Battle;Arsenal;Kodak;A.Madrid;MeLToSik;2;2;D
25;02/07;22:42;Noite;ESoccer_Battle;Napoli;palkan;Inter;Apenko_17;2;1;H
26;02/07;22:42;Noite;ESoccer_Battle;AC Milan;Zzakki;Juventus;Galikooo;2;1;H
27;02/07;22:40;Noite;ESoccer_Battle;Man Utd;Boulevard;Napoli;LaikingDast;2;1;H
28;02/07;22:40;Noite;ESoccer_Battle;A.Madrid;MeLToSik;Dortmund;Inquisitor;2;2;D
29;02/07;22:30;Noite;ESoccer_Battle;Juventus;Galikooo;Roma;Petruchio;1;0;H
30;02/07;22:30;Noite;ESoccer_Battle;Inter;Apenko_17;AC Milan;Zzakki;2;0;H
31;02/07;22:28;Noite;ESoccer_Battle;Arsenal;Kodak;Dortmund;Inquisitor;2;3;A
32;02/07;22:28;Noite;ESoccer_Battle;A.Madrid;MeLToSik;Napoli;LaikingDast;2;2;D
33;02/07;22:18;Noite;ESoccer_Battle;Napoli;palkan;AC Milan;Zzakki;3;3;D
34;02/07;22:18;Noite;ESoccer_Battle;Inter;Apenko_17;Roma;Petruchio;2;0;H
35;02/07;22:16;Noite;ESoccer_Battle;Napoli;LaikingDast;Arsenal;Kodak;3;2;H
36;02/07;22:16;Noite;ESoccer_Battle;Man Utd;Boulevard;A.Madrid;MeLToSik;1;2;A
37;02/07;22:06;Noite;ESoccer_Battle;Juventus;Galikooo;Inter;Apenko_17;0;1;A
38;02/07;22:06;Noite;ESoccer_Battle;Roma;Petruchio;Napoli;palkan;2;3;A
39;02/07;22:04;Noite;ESoccer_Battle;Arsenal;Kodak;Man Utd;Boulevard;3;0;H
40;02/07;22:04;Noite;ESoccer_Battle;Dortmund;Inquisitor;Napoli;LaikingDast;2;1;H
41;02/07;21:54;Noite;ESoccer_Battle;AC Milan;Zzakki;Roma;Petruchio;3;1;H
42;02/07;21:54;Noite;ESoccer_Battle;Napoli;palkan;Juventus;Galikooo;1;1;D
43;02/07;21:52;Noite;ESoccer_Battle;A.Madrid;MeLToSik;Arsenal;Kodak;2;2;D
44;02/07;21:52;Noite;ESoccer_Battle;Man Utd;Boulevard;Dortmund;Inquisitor;2;2;D
45;02/07;21:42;Noite;ESoccer_Battle;Inter;Apenko_17;Napoli;palkan;1;1;D
46;02/07;21:42;Noite;ESoccer_Battle;Juventus;Galikooo;AC Milan;Zzakki;2;2;D
47;02/07;21:40;Noite;ESoccer_Battle;Napoli;LaikingDast;Man Utd;Boulevard;4;1;H
48;02/07;21:40;Noite;ESoccer_Battle;Dortmund;Inquisitor;A.Madrid;MeLToSik;1;1;D
49;02/07;21:30;Noite;ESoccer_Battle;Roma;Petruchio;Juventus;Galikooo;0;2;A
50;02/07;21:30;Noite;ESoccer_Battle;AC Milan;Zzakki;Inter;Apenko_17;2;0;H
51;02/07;21:18;Noite;ESoccer_Battle;PSG;Inquisitor;Barcelona;Kodak;1;3;A
52;02/07;21:18;Noite;ESoccer_Battle;Man City;LaikingDast;Bayern;MeLToSik;1;0;H
53;02/07;21:08;Noite;ESoccer_Battle;Netherlands;Zzakki;England;palkan;4;3;H
54;02/07;21:08;Noite;ESoccer_Battle;Germany;Petruchio;Argentina;Apenko_17;1;1;D
55;02/07;21:06;Noite;ESoccer_Battle;Barcelona;Kodak;Man City;LaikingDast;3;1;H
56;02/07;21:06;Noite;ESoccer_Battle;Bayern;MeLToSik;Real Madrid;Boulevard;2;2;D
57;02/07;20:56;Noite;ESoccer_Battle;Argentina;Apenko_17;Portugal;Galikooo;4;3;H
58;02/07;20:56;Noite;ESoccer_Battle;England;palkan;Germany;Petruchio;2;1;H
59;02/07;20:54;Noite;ESoccer_Battle;Real Madrid;Boulevard;Barcelona;Kodak;2;1;H
60;02/07;20:54;Noite;ESoccer_Battle;Man City;LaikingDast;PSG;Inquisitor;3;0;H
61;02/07;20:44;Noite;ESoccer_Battle;Portugal;Galikooo;England;palkan;3;1;H
62;02/07;20:44;Noite;ESoccer_Battle;Germany;Petruchio;Netherlands;Zzakki;0;2;A
63;02/07;20:42;Noite;ESoccer_Battle;Barcelona;Kodak;Bayern;MeLToSik;1;1;D
64;02/07;20:42;Noite;ESoccer_Battle;PSG;Inquisitor;Real Madrid;Boulevard;0;1;A
65;02/07;20:32;Noite;ESoccer_Battle;England;palkan;Argentina;Apenko_17;5;2;H
66;02/07;20:32;Noite;ESoccer_Battle;Netherlands;Zzakki;Portugal;Galikooo;3;1;H
67;02/07;20:30;Noite;ESoccer_Battle;Real Madrid;Boulevard;Man City;LaikingDast;3;2;H
68;02/07;20:30;Noite;ESoccer_Battle;Bayern;MeLToSik;PSG;Inquisitor;1;2;A
69;02/07;20:20;Noite;ESoccer_Battle;Portugal;Galikooo;Germany;Petruchio;2;4;A
70;02/07;20:18;Noite;ESoccer_Battle;Barcelona;Kodak;PSG;Inquisitor;1;0;H
71;02/07;20:18;Noite;ESoccer_Battle;Bayern;MeLToSik;Man City;LaikingDast;3;2;H
72;02/07;20:08;Noite;ESoccer_Battle;England;palkan;Netherlands;Zzakki;3;2;H
73;02/07;20:08;Noite;ESoccer_Battle;Argentina;Apenko_17;Germany;Petruchio;1;1;D
74;02/07;20:06;Noite;ESoccer_Battle;Man City;LaikingDast;Barcelona;Kodak;3;5;A
75;02/07;20:06;Noite;ESoccer_Battle;Real Madrid;Boulevard;Bayern;MeLToSik;0;3;A
76;02/07;19:56;Noite;ESoccer_Battle;Portugal;Galikooo;Argentina;Apenko_17;2;3;A
77;02/07;19:54;Noite;ESoccer_Battle;Barcelona;Kodak;Real Madrid;Boulevard;0;1;A
78;02/07;19:54;Noite;ESoccer_Battle;PSG;Inquisitor;Man City;LaikingDast;2;3;A
79;02/07;19:44;Noite;ESoccer_Battle;Netherlands;Zzakki;Germany;Petruchio;0;0;D
80;02/07;19:44;Noite;ESoccer_Battle;England;palkan;Portugal;Galikooo;1;2;A
81;02/07;19:42;Noite;ESoccer_Battle;Bayern;MeLToSik;Barcelona;Kodak;0;0;D
82;02/07;19:42;Noite;ESoccer_Battle;Real Madrid;Boulevard;PSG;Inquisitor;5;0;H
83;02/07;19:32;Noite;ESoccer_Battle;Argentina;Apenko_17;England;palkan;5;2;H
84;02/07;19:32;Noite;ESoccer_Battle;Portugal;Galikooo;Netherlands;Zzakki;0;1;A
85;02/07;19:30;Noite;ESoccer_Battle;Man City;LaikingDast;Real Madrid;Boulevard;3;1;H
86;02/07;19:30;Noite;ESoccer_Battle;PSG;Inquisitor;Bayern;MeLToSik;0;0;D
87;02/07;19:20;Noite;ESoccer_Battle;Germany;Petruchio;Portugal;Galikooo;1;4;A
88;02/07;19:20;Noite;ESoccer_Battle;Netherlands;Zzakki;Argentina;Apenko_17;0;1;A
89;02/07;19:18;Noite;ESoccer_Battle;France;Daca;England;Kallu;0;2;A
90;02/07;19:18;Noite;ESoccer_Battle;Argentina;Elmagico;Portugal;MakcwellLm;1;1;D
91;02/07;19:06;Noite;ESoccer_Battle;England;Kallu;Argentina;Elmagico;4;3;H
92;02/07;18:58;Noite;ESoccer_Battle;Man Utd;Hermanito;Tottenham;Dacum;0;1;A
93;02/07;18:54;Noite;ESoccer_Battle;Germany;Izzy;England;Kallu;3;3;D
94;02/07;18:54;Noite;ESoccer_Battle;Argentina;Elmagico;France;Daca;1;2;A
95;02/07;18:46;Noite;ESoccer_Battle;Tottenham;Dacum;Man City;Jekos;1;2;A
96;02/07;18:46;Noite;ESoccer_Battle;Liverpool;Vicmestro;Man Utd;Hermanito;1;2;A
97;02/07;18:42;Noite;ESoccer_Battle;England;Kallu;Portugal;MakcwellLm;1;1;D
98;02/07;18:42;Noite;ESoccer_Battle;France;Daca;Germany;Izzy;1;1;D
99;02/07;18:34;Noite;ESoccer_Battle;Man Utd;Hermanito;Arsenal;Zyen;3;1;H
100;02/07;18:34;Noite;ESoccer_Battle;Man City;Jekos;Liverpool;Vicmestro;2;2;D
101;02/07;18:30;Noite;ESoccer_Battle;Germany;Izzy;Argentina;Elmagico;1;1;D
102;02/07;18:30;Noite;ESoccer_Battle;Portugal;MakcwellLm;France;Daca;0;1;A
103;02/07;18:22;Noite;ESoccer_Battle;Liverpool;Vicmestro;Tottenham;Dacum;0;2;A
104;02/07;18:22;Noite;ESoccer_Battle;Arsenal;Zyen;Man City;Jekos;1;4;A
105;02/07;18:18;Noite;ESoccer_Battle;England;Kallu;France;Daca;5;2;H
106;02/07;18:18;Noite;ESoccer_Battle;Portugal;MakcwellLm;Argentina;Elmagico;2;1;H
107;02/07;18:10;Noite;ESoccer_Battle;Man City;Jekos;Man Utd;Hermanito;2;0;H
108;02/07;18:10;Noite;ESoccer_Battle;Tottenham;Dacum;Arsenal;Zyen;3;0;H
109;02/07;18:06;Noite;ESoccer_Battle;Germany;Izzy;Portugal;MakcwellLm;4;1;H
110;02/07;18:06;Noite;ESoccer_Battle;Argentina;Elmagico;England;Kallu;3;7;A
111;02/07;17:58;Tarde;ESoccer_Battle;Liverpool;Vicmestro;Arsenal;Zyen;1;1;D
112;02/07;17:58;Tarde;ESoccer_Battle;Tottenham;Dacum;Man Utd;Hermanito;1;2;A
113;02/07;17:54;Tarde;ESoccer_Battle;France;Daca;Argentina;Elmagico;4;1;H
114;02/07;17:54;Tarde;ESoccer_Battle;England;Kallu;Germany;Izzy;1;3;A
115;02/07;17:46;Tarde;ESoccer_Battle;Man City;Jekos;Tottenham;Dacum;2;2;D
116;02/07;17:46;Tarde;ESoccer_Battle;Man Utd;Hermanito;Liverpool;Vicmestro;1;2;A
117;02/07;17:42;Tarde;ESoccer_Battle;Portugal;MakcwellLm;England;Kallu;1;3;A
118;02/07;17:42;Tarde;ESoccer_Battle;Germany;Izzy;France;Daca;1;1;D
119;02/07;17:34;Tarde;ESoccer_Battle;Arsenal;Zyen;Man Utd;Hermanito;1;1;D
120;02/07;17:34;Tarde;ESoccer_Battle;Liverpool;Vicmestro;Man City;Jekos;1;1;D
121;02/07;17:30;Tarde;ESoccer_Battle;Argentina;Elmagico;Germany;Izzy;2;2;D
122;02/07;17:30;Tarde;ESoccer_Battle;France;Daca;Portugal;MakcwellLm;1;3;A
123;02/07;17:22;Tarde;ESoccer_Battle;Tottenham;Dacum;Liverpool;Vicmestro;1;2;A
124;02/07;17:22;Tarde;ESoccer_Battle;Man City;Jekos;Arsenal;Zyen;3;3;D
125;02/07;17:10;Tarde;ESoccer_Battle;Man Utd;Hermanito;Man City;Jekos;2;2;D
126;02/07;17:10;Tarde;ESoccer_Battle;Arsenal;Zyen;Tottenham;Dacum;2;1;H
127;02/07;16:58;Tarde;ESoccer_Battle;Brighton;Daca;Newcastle;Kallu;0;3;A
128;02/07;16:46;Tarde;ESoccer_Battle;West Ham;MakcwellLm;Aston Villa;Izzy;0;1;A
129;02/07;16:46;Tarde;ESoccer_Battle;Newcastle;Kallu;Chelsea;Elmagico;3;1;H
130;02/07;16:38;Tarde;ESoccer_Battle;Roma;Zyen;Villarreal;Vicmestro;3;2;H
131;02/07;16:38;Tarde;ESoccer_Battle;West Ham;Hermanito;Bayer 04;Dacum;2;1;H
132;02/07;16:34;Tarde;ESoccer_Battle;Aston Villa;Izzy;Newcastle;Kallu;4;1;H
133;02/07;16:34;Tarde;ESoccer_Battle;Chelsea;Elmagico;Brighton;Daca;3;1;H
134;02/07;16:26;Tarde;ESoccer_Battle;Bayer 04;Dacum;Marseille;Jekos;1;0;H
135;02/07;16:26;Tarde;ESoccer_Battle;Villarreal;Vicmestro;West Ham;Hermanito;2;1;H
136;02/07;16:22;Tarde;ESoccer_Battle;Newcastle;Kallu;West Ham;MakcwellLm;4;2;H
137;02/07;16:22;Tarde;ESoccer_Battle;Brighton;Daca;Aston Villa;Izzy;2;2;D
138;02/07;16:14;Tarde;ESoccer_Battle;Marseille;Jekos;Villarreal;Vicmestro;1;3;A
139;02/07;16:14;Tarde;ESoccer_Battle;West Ham;Hermanito;Roma;Zyen;0;1;A
140;02/07;16:10;Tarde;ESoccer_Battle;Aston Villa;Izzy;Chelsea;Elmagico;0;1;A
141;02/07;16:10;Tarde;ESoccer_Battle;West Ham;MakcwellLm;Brighton;Daca;2;1;H
142;02/07;16:02;Tarde;ESoccer_Battle;Villarreal;Vicmestro;Bayer 04;Dacum;1;2;A
143;02/07;16:02;Tarde;ESoccer_Battle;Roma;Zyen;Marseille;Jekos;4;1;H
144;02/07;15:58;Tarde;ESoccer_Battle;Newcastle;Kallu;Brighton;Daca;2;1;H
145;02/07;15:58;Tarde;ESoccer_Battle;West Ham;MakcwellLm;Chelsea;Elmagico;2;3;A
146;02/07;15:50;Tarde;ESoccer_Battle;Marseille;Jekos;West Ham;Hermanito;2;0;H
147;02/07;15:50;Tarde;ESoccer_Battle;Bayer 04;Dacum;Roma;Zyen;1;3;A
148;02/07;15:46;Tarde;ESoccer_Battle;Aston Villa;Izzy;West Ham;MakcwellLm;0;1;A
149;02/07;15:46;Tarde;ESoccer_Battle;Chelsea;Elmagico;Newcastle;Kallu;0;1;A
150;02/07;15:38;Tarde;ESoccer_Battle;Villarreal;Vicmestro;Roma;Zyen;2;1;H
151;02/07;15:38;Tarde;ESoccer_Battle;Bayer 04;Dacum;West Ham;Hermanito;6;4;H
152;02/07;15:34;Tarde;ESoccer_Battle;Brighton;Daca;Chelsea;Elmagico;1;1;D
153;02/07;15:34;Tarde;ESoccer_Battle;Newcastle;Kallu;Aston Villa;Izzy;4;2;H
154;02/07;15:26;Tarde;ESoccer_Battle;Marseille;Jekos;Bayer 04;Dacum;1;1;D
155;02/07;15:26;Tarde;ESoccer_Battle;West Ham;Hermanito;Villarreal;Vicmestro;4;2;H
156;02/07;15:22;Tarde;ESoccer_Battle;West Ham;MakcwellLm;Newcastle;Kallu;3;2;H
157;02/07;15:22;Tarde;ESoccer_Battle;Aston Villa;Izzy;Brighton;Daca;3;0;H
158;02/07;15:14;Tarde;ESoccer_Battle;Roma;Zyen;West Ham;Hermanito;1;2;A
159;02/07;15:14;Tarde;ESoccer_Battle;Villarreal;Vicmestro;Marseille;Jekos;2;2;D
160;02/07;15:10;Tarde;ESoccer_Battle;Chelsea;Elmagico;Aston Villa;Izzy;3;1;H
161;02/07;15:10;Tarde;ESoccer_Battle;Brighton;Daca;West Ham;MakcwellLm;1;2;A
162;02/07;15:02;Tarde;ESoccer_Battle;Bayer 04;Dacum;Villarreal;Vicmestro;2;2;D
163;02/07;15:02;Tarde;ESoccer_Battle;Marseille;Jekos;Roma;Zyen;0;4;A
164;02/07;14:50;Tarde;ESoccer_Battle;West Ham;Hermanito;Marseille;Jekos;2;1;H
165;02/07;14:48;Tarde;ESoccer_Battle;Wolfsburg;Daca;RB Leipzig;Kallu;1;2;A
166;02/07;14:48;Tarde;ESoccer_Battle;Dortmund;Elmagico;Bayer 04;MakcwellLm;1;1;D
167;02/07;14:36;Tarde;ESoccer_Battle;Bayer 04;MakcwellLm;Eintracht;Izzy;0;0;D
168;02/07;14:36;Tarde;ESoccer_Battle;RB Leipzig;Kallu;Dortmund;Elmagico;2;3;A
169;02/07;14:28;Tarde;ESoccer_Battle;Galatasaray;Zyen;Inter;Vicmestro;3;1;H
170;02/07;14:28;Tarde;ESoccer_Battle;AC Milan;Hermanito;Sevilla;Dacum;2;3;A
171;02/07;14:24;Tarde;ESoccer_Battle;Dortmund;Elmagico;Wolfsburg;Daca;0;2;A
172;02/07;14:24;Tarde;ESoccer_Battle;Eintracht;Izzy;RB Leipzig;Kallu;1;4;A
173;02/07;14:16;Tarde;ESoccer_Battle;Sevilla;Dacum;Newcastle;Jekos;0;3;A
174;02/07;14:16;Tarde;ESoccer_Battle;Inter;Vicmestro;AC Milan;Hermanito;1;1;D
175;02/07;14:12;Tarde;ESoccer_Battle;RB Leipzig;Kallu;Bayer 04;MakcwellLm;4;1;H
176;02/07;14:12;Tarde;ESoccer_Battle;Wolfsburg;Daca;Eintracht;Izzy;0;0;D
177;02/07;14:04;Tarde;ESoccer_Battle;Newcastle;Jekos;Inter;Vicmestro;3;5;A
178;02/07;14:04;Tarde;ESoccer_Battle;AC Milan;Hermanito;Galatasaray;Zyen;0;0;D
179;02/07;14:00;Tarde;ESoccer_Battle;Eintracht;Izzy;Dortmund;Elmagico;3;1;H
180;02/07;14:00;Tarde;ESoccer_Battle;Bayer 04;MakcwellLm;Wolfsburg;Daca;2;0;H
181;02/07;13:52;Tarde;ESoccer_Battle;Inter;Vicmestro;Sevilla;Dacum;1;3;A
182;02/07;13:52;Tarde;ESoccer_Battle;Galatasaray;Zyen;Newcastle;Jekos;1;2;A
