Nº;Date;Time;Shift;League;HomeTeam;HomePlayer;AwayTeam;AwayPlayer;golsHome;golsAway;FTR
1;02/08;07:00;Manhã;GT_Leagues;West Ham;Ragnar;Villarreal;Spex;0;5;A
2;02/08;06:45;Manhã;GT_Leagues;Marseille;Spencer;Villarreal;Spex;2;2;D
3;02/08;06:30;Manhã;GT_Leagues;Marseille;Spencer;AC Milan;Carnage;0;2;A
4;02/08;06:15;Manhã;GT_Leagues;PSG;Cantona;Real Madrid;aibothard;4;2;H
5;02/08;06:15;Manhã;GT_Leagues;Man City;Votepeace;Inter;val;3;3;D
6;02/08;06:15;Manhã;GT_Leagues;AC Milan;Carnage;Villarreal;Spex;1;3;A
7;02/08;06:15;Manhã;GT_Leagues;Marseille;Spencer;West Ham;Ragnar;1;1;D
8;02/08;06:00;Manhã;GT_Leagues;Bayern;Chemist;Real Madrid;aibothard;3;0;H
9;02/08;06:00;Manhã;GT_Leagues;Man City;Votepeace;PSG;Cantona;1;2;A
10;02/08;06:00;Manhã;GT_Leagues;AC Milan;Carnage;West Ham;Ragnar;3;2;H
11;02/08;05:45;Madrugada;GT_Leagues;Man City;Votepeace;Real Madrid;aibothard;1;3;A
12;02/08;05:45;Madrugada;GT_Leagues;Bayern;Chemist;Inter;val;1;3;A
13;02/08;05:30;Madrugada;GT_Leagues;Bayern;Chemist;Man City;Votepeace;1;3;A
14;02/08;05:30;Madrugada;GT_Leagues;PSG;Cantona;Inter;val;2;1;H
15;02/08;05:30;Madrugada;GT_Leagues;Villarreal;Spex;West Ham;Ragnar;0;1;A
16;02/08;05:15;Madrugada;GT_Leagues;Real Madrid;aibothard;Inter;val;0;2;A
17;02/08;05:15;Madrugada;GT_Leagues;Bayern;Chemist;PSG;Cantona;4;3;H
18;02/08;05:15;Madrugada;GT_Leagues;Villarreal;Spex;Marseille;Spencer;3;2;H
19;02/08;05:00;Madrugada;GT_Leagues;Inter;val;Man City;Votepeace;4;3;H
20;02/08;05:00;Madrugada;GT_Leagues;Real Madrid;aibothard;PSG;Cantona;3;5;A
21;02/08;05:00;Madrugada;GT_Leagues;AC Milan;Carnage;Marseille;Spencer;4;2;H
22;02/08;04:45;Madrugada;GT_Leagues;West Ham;Ragnar;Marseille;Spencer;2;3;A
23;02/08;04:45;Madrugada;GT_Leagues;Villarreal;Spex;AC Milan;Carnage;2;1;H
24;02/08;04:30;Madrugada;GT_Leagues;West Ham;Ragnar;AC Milan;Carnage;0;3;A
25;02/08;04:15;Madrugada;GT_Leagues;Napoli;Ragnar;A.Madrid;Spex;0;1;A
26;02/08;04:00;Madrugada;GT_Leagues;PSV;Spencer;A.Madrid;Spex;3;2;H
27;02/08;03:45;Madrugada;GT_Leagues;PSV;Spencer;FC Porto;Carnage;4;3;H
28;02/08;03:30;Madrugada;GT_Leagues;PSV;Spencer;Napoli;Ragnar;3;3;D
29;02/08;03:15;Madrugada;GT_Leagues;FC Porto;Carnage;Napoli;Ragnar;4;5;A
30;02/08;03:00;Madrugada;GT_Leagues;A.Madrid;Spex;Napoli;Ragnar;0;2;A
31;02/08;02:45;Madrugada;GT_Leagues;A.Madrid;Spex;PSV;Spencer;4;1;H
32;02/08;02:30;Madrugada;GT_Leagues;FC Porto;Carnage;PSV;Spencer;3;2;H
33;02/08;02:15;Madrugada;GT_Leagues;Napoli;Ragnar;PSV;Spencer;4;2;H
34;02/08;02:15;Madrugada;GT_Leagues;A.Madrid;Spex;FC Porto;Carnage;0;1;A
35;02/08;01:30;Madrugada;GT_Leagues;AC Milan;Carlos;Benfica;Ivan;3;2;H
36;02/08;01:30;Madrugada;GT_Leagues;West Ham;Goliath;Villarreal;Tongpo;1;4;A
37;02/08;01:15;Madrugada;GT_Leagues;Marseille;Hakan;Villarreal;Tongpo;1;5;A
38;02/08;01:15;Madrugada;GT_Leagues;West Ham;Goliath;Benfica;Ivan;3;0;H
39;02/08;01:00;Madrugada;GT_Leagues;Benfica;Ivan;Villarreal;Tongpo;4;3;H
40;02/08;01:00;Madrugada;GT_Leagues;Marseille;Hakan;AC Milan;Carlos;2;8;A
41;02/08;00:45;Madrugada;GT_Leagues;AC Milan;Carlos;Villarreal;Tongpo;3;1;H
42;02/08;00:45;Madrugada;GT_Leagues;Marseille;Hakan;West Ham;Goliath;0;2;A
43;02/08;00:30;Madrugada;GT_Leagues;Benfica;Ivan;Marseille;Hakan;3;3;D
44;02/08;00:30;Madrugada;GT_Leagues;AC Milan;Carlos;West Ham;Goliath;4;3;H
45;02/08;00:15;Madrugada;GT_Leagues;Villarreal;Tongpo;West Ham;Goliath;3;5;A
46;02/08;00:15;Madrugada;GT_Leagues;Benfica;Ivan;AC Milan;Carlos;1;2;A
47;02/08;00:00;Madrugada;GT_Leagues;Villarreal;Tongpo;Marseille;Hakan;2;1;H
48;02/08;00:00;Madrugada;GT_Leagues;Benfica;Ivan;West Ham;Goliath;5;2;H
49;02/07;23:45;Noite;GT_Leagues;Villarreal;Tongpo;Benfica;Ivan;3;0;H
50;02/07;23:45;Noite;GT_Leagues;AC Milan;Carlos;Marseille;Hakan;5;3;H
51;02/07;23:30;Noite;GT_Leagues;West Ham;Goliath;Marseille;Hakan;3;3;D
52;02/07;23:30;Noite;GT_Leagues;Villarreal;Tongpo;AC Milan;Carlos;4;2;H
53;02/07;23:15;Noite;GT_Leagues;Marseille;Hakan;Benfica;Ivan;0;1;A
54;02/07;23:15;Noite;GT_Leagues;West Ham;Goliath;AC Milan;Carlos;1;3;A
55;02/07;23:00;Noite;GT_Leagues;Dortmund;Carlos;Copenhagen;Ivan;5;1;H
56;02/07;23:00;Noite;GT_Leagues;Barcelona;Goliath;Arsenal;TongPo;6;2;H
