Nº;Date;Time;Shift;League;HomeTeam;HomePlayer;AwayTeam;AwayPlayer;golsHome;golsAway;FTR
1;02/07;23:45;Noite;GT Leagues;Villarreal;Tongpo;Benfica;Ivan;3;0;H
2;02/07;23:30;Noite;GT Leagues;West Ham;Goliath;Marseille;Hakan;3;3;D
3;02/07;23:30;Noite;GT Leagues;Villarreal;Tongpo;AC Milan;Carlos;4;2;H
4;02/07;23:15;Noite;GT Leagues;Marseille;Hakan;Benfica;Ivan;0;1;A
5;02/07;23:15;Noite;GT Leagues;West Ham;Goliath;AC Milan;Carlos;1;3;A
6;02/07;23:00;Noite;GT Leagues;Dortmund;Carlos;Copenhagen;Ivan;5;1;H
7;02/07;23:00;Noite;GT Leagues;Barcelona;Goliath;Arsenal;TongPo;6;2;H
8;02/07;23:00;Noite;GT Leagues;Dortmund;Carlos;Copenhagen;Ivan;5;1;H
9;02/07;22:45;Noite;GT Leagues;Lazio;Hakan;Arsenal;TongPo;1;6;A
10;02/07;22:45;Noite;GT Leagues;Barcelona;Goliath;Copenhagen;Ivan;1;6;A
11;02/07;22:30;Noite;GT Leagues;Lazio;Hakan;Dortmund;Carlos;0;2;A
12;02/07;22:30;Noite;GT Leagues;Copenhagen;Ivan;Arsenal;TongPo;1;1;D
13;02/07;22:15;Noite;GT Leagues;Lazio;Hakan;Barcelona;Goliath;4;1;H
14;02/07;22:15;Noite;GT Leagues;Dortmund;Carlos;Arsenal;TongPo;6;2;H
15;02/07;22:00;Noite;GT Leagues;Dortmund;Carlos;Barcelona;Goliath;5;5;D
16;02/07;21:30;Noite;GT Leagues;Copenhagen;Ivan;Dortmund;Carlos;3;4;A
17;02/07;21:30;Noite;GT Leagues;Arsenal;TongPo;Barcelona;Goliath;4;4;D
18;02/07;21:15;Noite;GT Leagues;Arsenal;TongPo;Lazio;Hakan;4;2;H
19;02/07;21:15;Noite;GT Leagues;Copenhagen;Ivan;Barcelona;Goliath;2;4;A
20;02/07;21:00;Noite;GT Leagues;Dortmund;Carlos;Lazio;Hakan;4;3;H
21;02/07;21:00;Noite;GT Leagues;Arsenal;TongPo;Copenhagen;Ivan;2;5;A
22;02/07;20:45;Noite;GT Leagues;Barcelona;Goliath;Lazio;Hakan;3;2;H
23;02/07;20:45;Noite;GT Leagues;Arsenal;TongPo;Dortmund;Carlos;1;4;A
24;02/07;20:30;Noite;GT Leagues;SC Freiburg;Furious;Galatasaray;Mosquito;3;3;D
25;02/07;20:30;Noite;GT Leagues;Barcelona;Goliath;Dortmund;Carlos;2;6;A
26;02/07;20:15;Noite;GT Leagues;Rangers;Socrates;Galatasaray;Mosquito;3;1;H
27;02/07;20:15;Noite;GT Leagues;SC Freiburg;Furious;Roma;Saigon;3;0;H
28;02/07;20:15;Noite;GT Leagues;Inter;Carlos;Napoli;Ivan;4;0;H
29;02/07;20:00;Noite;GT Leagues;Roma;Saigon;Galatasaray;Mosquito;3;1;H
30;02/07;20:00;Noite;GT Leagues;Rangers;Socrates;Brighton;Professor;3;5;A
